,Title,Published_date,Views,Likes,Favorites,Comments,Month
162,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5968,258,0,112,Jul
163,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8441,249,0,200,Jul
164,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1891,97,0,27,Jul
165,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29463,562,0,90,Jul
166,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,396884,8364,0,449,Jul
167,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30774,1121,0,118,Jul
168,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3736,133,0,50,Jul
169,The Best Computer for Data Science Beginners,2020-07-10,40320,867,0,159,Jul
170,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6205,231,0,82,Jul
171,Critiquing MY OWN Data Science Resume,2020-07-06,12908,398,0,88,Jul
172,Where to Start Learning Data Science,2020-07-03,19329,790,0,125,Jul
173,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4293,201,0,35,Jul
174,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4744,181,0,52,Jun
175,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16944,553,0,79,Jun
176,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2460,82,0,40,Jun
177,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2404,139,0,49,Jun
178,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4461,168,0,46,Jun
179,Why You're Struggling to Learn Data Science,2020-06-12,15397,1000,0,159,Jun
180,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,12374,365,0,70,Jun
181,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,24936,701,0,145,Jun
182,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5751,154,0,53,Jun
183,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,79826,2292,0,277,May
184,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,21048,488,0,81,May
185,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,57906,2027,0,178,May
186,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11368,179,0,53,May
187,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,142519,4621,0,194,May
188,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3111,145,0,115,May
189,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4613,156,0,74,May
190,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1404144,48836,0,1986,May
191,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5682,199,0,42,May
192,What You Need to Know for a Data Science Internship,2020-05-01,23054,1220,0,60,May
193,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8526,349,0,53,Apr
194,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,15025,453,0,99,Apr
195,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3253,87,0,24,Apr
196,5 Tips for Crushing the Work From Home Life,2020-04-20,5492,199,0,38,Apr
197,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,23534,759,0,129,Apr
198,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,31873,756,0,99,Apr
199,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,47447,938,0,155,Apr
200,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,77032,1954,0,214,Apr
201,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,86413,1815,0,278,Apr
202,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,139938,3675,0,626,Apr
203,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,218687,5361,0,174,Apr
204,When Data Science Goes Wrong,2020-03-30,1834,107,0,30,Mar
205,How to ULTRALEARN Data Science,2020-03-27,62447,3805,0,168,Mar
206,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4526,267,0,50,Mar
207,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,14274,478,0,45,Mar
208,The Secret Data Scientists Don't Want You to Know,2020-03-16,11092,1144,0,100,Mar
209,The 5 Stages of Learning Data Science,2020-03-13,17736,1291,0,70,Mar
210,Can You Learn Data Science Without a Computer?,2020-03-11,2092,139,0,14,Mar
211,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,351873,21233,0,622,Mar
212,The Data Science Projects that Got Me a Job,2020-03-06,42001,1397,0,41,Mar
213,How to Integrate Data Science into Your Business,2020-03-02,3477,129,0,16,Mar
214,The Problem with Data Science,2020-02-28,3837,150,0,18,Feb
215,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1234,44,0,16,Feb
216,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,146036,2675,0,95,Feb
217,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,336192,17964,0,525,Feb
218,Data Science Advice for College Students,2020-02-14,69367,1963,0,195,Feb
219,Avoid These Data Science Resume Mistakes!,2020-02-10,29062,1248,0,59,Feb
220,Data Science Explained with ... Cooking?,2020-02-07,5637,314,0,48,Feb
221,The 4 Types of Sports Analytics Projects,2020-02-03,34717,1104,0,65,Feb
222,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,642,18,0,13,Jan
223,How I Learned Data Science,2020-01-27,94606,2682,0,208,Jan
224,What is Sports Analytics Really?,2020-01-20,23460,646,0,75,Jan
225,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,114231,3175,0,575,Jan
226,How To Learn Programming for Data Science [3 Steps],2020-01-13,30321,1981,0,96,Jan
227,Data Science Fundamentals: SQL Queries,2020-01-10,7004,222,0,35,Jan
228,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3195,150,0,14,Jan
229,The 9 Books That Changed My Perspective in 2019,2020-01-03,3416,176,0,25,Jan
230,The Data Science Interview: What to Expect,2019-12-30,8762,382,0,32,Dec
231,5 Data Science Resolutions for 2020,2019-12-27,481,24,0,12,Dec
232,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,19057,653,0,95,Dec
233,Collision Course: Sports Betting + Data Science,2019-12-20,21144,556,0,27,Dec
234,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,101126,2911,0,204,Dec
235,5 Sports Analytics Books to Get You Started,2019-12-13,11943,441,0,60,Dec
236,Math Needed for Mastering Data Science,2019-12-09,58466,2900,0,215,Dec
237,The 5 Stages of Data Science Adoption,2019-12-06,1377,69,0,17,Dec
238,How YOU Can Land a Sports Analytics Job,2019-12-02,75880,3248,0,228,Dec
239,Data Science Fundamentals: Linear Regression,2019-11-29,6633,177,0,42,Nov
240,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1293,55,0,12,Nov
241,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,7056,284,0,26,Nov
242,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46981,1754,0,79,Nov
243,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,6031,139,0,31,Nov
244,Why Selling Is An Important Data Science Skill,2019-11-04,1695,80,0,13,Nov
245,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,3193,74,0,18,Oct
246,Why is Balance Important in Data Science?,2019-10-16,738,34,0,13,Oct
247,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,12134,583,0,55,Sep
248,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,4541,122,0,35,Sep
249,6 Habits of Successful Data Scientists,2019-09-13,2301,98,0,17,Sep
250,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,5295,110,0,10,Sep
251,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,527,23,0,29,Aug
252,Is Data Science Right For You?,2019-08-18,53368,1206,0,109,Aug
253,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15464,397,0,55,Aug
254,How To Get Data Science Experience (Without a Job),2019-08-08,30080,1390,0,77,Aug
255,Take Your Data Science Projects From Good to Great,2019-08-05,1662,110,0,11,Aug
256,The Projects You Should Do To Get A Data Science Job,2019-07-30,157112,5783,0,250,Jul
257,What Does a Data Scientist Actually Do?,2019-07-19,55795,1355,0,80,Jul
258,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13535,359,0,44,Jul
259,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18822,543,0,61,Jul
260,Data Science: Pros and Cons,2019-06-30,5760,231,0,18,Jun
261,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,26710,1253,0,89,Jun
262,My Top 5 Data Science Internship Tips,2019-06-15,12365,505,0,24,Jun
263,Golf STATS: Strokes Gained Explained,2019-06-07,8510,168,0,32,Jun
264,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,629,44,0,5,May
265,What I Learned From My Three Degrees,2019-05-17,1310,60,0,12,May
266,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25724,1062,0,66,May
267,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1284,39,0,2,May
268,Should You Learn R for Data Science?,2019-04-25,22548,574,0,72,Apr
269,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46799,846,0,321,Apr
270,Work From Home Data Scientist: Day in the Life,2019-04-12,28372,755,0,101,Apr
271,Where to Look for Data Science Jobs,2019-03-29,3053,116,0,9,Mar
272,Data Science: Startup vs. Large Corporation,2019-03-21,2417,76,0,4,Mar
273,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6508,172,0,26,Mar
274,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4316,180,0,15,Mar
275,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,839,32,0,12,Mar
276,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1584,33,0,8,Mar
277,Where YOU Should Start With Data Science Projects,2019-02-19,18957,371,0,20,Feb
278,Watch This Before Applying to Data Science Jobs,2019-02-04,1535,64,0,13,Feb
279,My Top 5 Data Science Resources for 2019,2019-01-05,3790,120,0,15,Jan
280,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,861,34,0,6,Dec
281,The Best Way to Predict NBA Minutes Played,2018-12-11,5536,126,0,15,Dec
282,Demystifying Data Science Roles,2018-11-30,1171,52,0,5,Nov
283,How to Simulate NBA Games in Python,2018-11-19,18971,415,0,50,Nov
284,Should You Get A Masters in Data Science?,2018-11-14,20903,303,0,133,Nov
285,How I Became A Data Scientist From a Business Background,2018-11-12,6665,198,0,23,Nov
286,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,9324,195,0,17,Jul
287,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19535,296,0,41,Nov
288,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,5295,110,0,10,Sep
289,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,527,23,0,29,Aug
290,Is Data Science Right For You?,2019-08-18,53368,1206,0,109,Aug
291,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15464,397,0,55,Aug
292,How To Get Data Science Experience (Without a Job),2019-08-08,30080,1390,0,77,Aug
293,Take Your Data Science Projects From Good to Great,2019-08-05,1662,110,0,11,Aug
294,The Projects You Should Do To Get A Data Science Job,2019-07-30,157112,5783,0,250,Jul
295,What Does a Data Scientist Actually Do?,2019-07-19,55795,1355,0,80,Jul
296,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13535,359,0,44,Jul
297,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18822,543,0,61,Jul
298,Data Science: Pros and Cons,2019-06-30,5760,231,0,18,Jun
299,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,26710,1253,0,89,Jun
300,My Top 5 Data Science Internship Tips,2019-06-15,12365,505,0,24,Jun
301,Golf STATS: Strokes Gained Explained,2019-06-07,8510,168,0,32,Jun
302,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,629,44,0,5,May
303,What I Learned From My Three Degrees,2019-05-17,1310,60,0,12,May
304,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25724,1062,0,66,May
305,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1284,39,0,2,May
306,Should You Learn R for Data Science?,2019-04-25,22548,574,0,72,Apr
307,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46799,846,0,321,Apr
308,Work From Home Data Scientist: Day in the Life,2019-04-12,28372,755,0,101,Apr
309,Where to Look for Data Science Jobs,2019-03-29,3053,116,0,9,Mar
310,Data Science: Startup vs. Large Corporation,2019-03-21,2417,76,0,4,Mar
311,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6508,172,0,26,Mar
312,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4316,180,0,15,Mar
313,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,839,32,0,12,Mar
314,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1584,33,0,8,Mar
315,Where YOU Should Start With Data Science Projects,2019-02-19,18957,371,0,20,Feb
316,Watch This Before Applying to Data Science Jobs,2019-02-04,1535,64,0,13,Feb
317,My Top 5 Data Science Resources for 2019,2019-01-05,3790,120,0,15,Jan
318,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,861,34,0,6,Dec
319,The Best Way to Predict NBA Minutes Played,2018-12-11,5536,126,0,15,Dec
320,Demystifying Data Science Roles,2018-11-30,1171,52,0,5,Nov
321,How to Simulate NBA Games in Python,2018-11-19,18971,415,0,50,Nov
322,Should You Get A Masters in Data Science?,2018-11-14,20904,303,0,133,Nov
323,How I Became A Data Scientist From a Business Background,2018-11-12,6665,198,0,23,Nov
324,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,9324,195,0,17,Jul
325,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19535,296,0,41,Nov
